State,Specialties,Experience,Price
Connecticut,"Family/Children, Newborn, Maternity, Quinceañeras",1+ years 4+ years 9+ years in business,Investment: Moderate
"Alaska, Colorado, California","Wedding, Elopement, High School Seniors, Maternity, Boudoir",1+ year 4+ years 9+ years in business,Investment: Average
North Dakota,"Wedding, High School Seniors",1+ years 4+ years 9+ years in business,Investment: Premium
Louisiana,"Wedding, Elopement, Branding/Headshots, Boudoir, Other Portraits",1+ years 4+ years in business,Investment: Average
Virginia.,"High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
Nebraska,"Wedding, High School Seniors, Family/Children, Newborn, Branding/Headshots",1+ years in business,Investment: Moderate
"New York, New Jersey","Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
"District of Columbia, New York",Wedding,1+ years 4+ years 9+ years in business,Investment: Premium
"Texas, New Mexico, Oklahoma, Arizona","Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
Vermont,"Wedding, Elopement, Family/Children, Maternity, Branding/Headshots",1+ years 4+ years in business,Investment: Premium
Nevada,"Branding/Headshots, Boudoir, Other Portraits",1+ years in business,Investment: Luxury
Arizona,"Wedding, Elopement, Maternity, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Average
Georgia,"Branding/Headshots, Animals","1+ years, 4+ years in business",Investment: Luxury
Nebraska,"Wedding, Family/Children, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Average
Colorado,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Average
Ohio,"Wedding, High School Seniors, Family/Children, Newborn, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
"Nevada, California","High School Seniors, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years in business,Investment: Moderate
California,"Branding/Headshots, Animals, Other Portraits",1+ years 4+ years in business,Investment: Premium
Florida,"High School Seniors, Family/Children, Newborn, Maternity, Animals",1+ years in business,Investment: Premium
Utah,Wedding,1+ years 4+ years in business,Investment: Moderate
Illinois,"High School Seniors, Family/Children, Newborn, Maternity, Other Portraits",1+ years 4+ years in business,Investment: Moderate
North Carolina,"Wedding, Family/Children, Maternity",1+ years 4+ years in business,Investment: Moderate
California,Animals,1+ years in business,Investment: Premium
"Tennessee, Florida, North Carolina, Alabama","Wedding, Elopement, High School Seniors, Family/Children, Maternity",1+ years 4+ years 9+ years in business,Investment: Premium
Alabama,"High School Seniors, Family/Children, Newborn, Maternity",1+ years in business,Investment: Moderate
Iowa,"Wedding, High School Seniors, Newborn, Maternity, Boudoir",1+ years 4+ years 9+ years in business,Investment: Moderate
"Tennessee, Florida, Georgia, Alabama","Wedding, High School Seniors, Family/Children, Maternity, Branding/Headshots",1+ years 4+ years in business,Investment: Moderate
Kentucky,"Wedding, Family/Children, Maternity, Boudoir",1+ years 4+ years in business,Investment: Moderate
"Massachusetts, Connecticut","High School Seniors, Family/Children, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Premium
Illinois,Newborn,1+ years 4+ years 9+ years in business,Investment: Moderate
"Connecticut, Rhode Island","Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Premium
"Pennsylvania, Colorado, Hawaii","Wedding, Elopement, Family/Children, Maternity",1+ years 4+ years in business,Investment: Premium
Oregon,"Wedding, Elopement, High School Seniors, Family/Children, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Florida,"Wedding, Elopement",1+ years 4 + years 9+ years in business,Investment: Average
Minnesota,"High School Seniors, Other Portraits",1+ years 4+ years in business,Investment: Premium
North Carolina,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Average
"Oklahoma, Colorado","Wedding, Maternity, Boudoir",1+ years in business,Investment: Moderate
Texas,"Family/Children, Newborn",1+ years 4+ years in business,Investment: Moderate
Virginia.,"Elopement, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years in business,Investment: Moderate
Missouri,"High School Seniors, Family/Children, Newborn, Birth, Maternity",1+ years 4+ years in business,Investment: Moderate
Nebraska,"High School Seniors, Branding/Headshots, Portraits",1+ years 4+ years in business,Investment: Moderate
California,"Wedding, Family/Children, Newborn, Maternity, Boudoir",1+ years 4+ years in business,Investment: Average
California,"Maternity, Branding/Headshots, Other Portraits",1+ years in business,Investment: Luxury
Nebraska,"Wedding, High School Seniors, Family/Children, Branding/Headshots, Portraits",1+ years 4+ years in business,Investment: Moderate
Missouri,"Family/Children, Branding/Headshots, Boudoir, Other Portraits",1+ years in business,Investment: Premium
Missouri,Boudoir,1+ years in business,Investment: Premium
Colorado,"Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Premium
"Colorado, Utah, California","Family/Children, Newborn, Maternity, Animals",1+ years 4+ years in business,Investment: Premium
"Connecticut, New York, Rhode Island, Massachusetts","Wedding, Elopement, Maternity, Other Portraits",1+ years 4+ years in business,Investment: Average
Montana,"Family/Children, Newborn, Maternity",1+ years 4 + years 9+ years in business,Investment: Premium
Florida,"Family/Children, Newborn, Maternity",1+ years in business,Investment: Moderate
Washington,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Average
Iowa,"Wedding, Other Portraits",1+ years 4+ years in business,Investment: Average
Missouri,Boudoir,1+ years in business,Investment: Average
"Texas, New Mexico, Florida",Animals,1+ years in business,Investment: Average
New York,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
California,Animals,1+ years in business,Investment: Premium
"Virginia., Louisiana","Maternity, Boudoir",1+ years 4+ years 9+years in business,Investment: Luxury
Colorado,"Wedding, High School Seniors, Branding/Headshots, Animals",1+ years 4+ years 9+ years in business,Investment: Moderate
"Tennessee, Colorado, Florida, California","Wedding, Elopement, Maternity",1+ years 4+ years in business,Investment: Average
Rhode Island,"High School Seniors, Family/Children, Maternity, Branding/Headshots, Boudoir",1+ years 4+ years in business,Investment: Premium
Georgia,"Family/Children, Newborn, Maternity",1+ years in business,Investment: Moderate
Texas,"Family/Children, Newborn, Maternity, Animals",1+ years 4+ years 9+ years in business,Investment: Premium
North Carolina,"Wedding, Boudoir",1+ years 4+ years in business,Investment: Average
"New Jersey, Pennsylvania, New York","Wedding, High School Seniors, Family/Children, Branding/Headshots, Quinceañeras",1+ years 4+ years 9+ years in business,Investment: Moderate
Pennsylvania,"Wedding, Elopement, Family/Children, Birth",1+ years 4+ years 9+ years in business,Investment: Average
Texas,"Family/Children, Maternity, Other Portraits",1+ years in business,Investment: Moderate
Iowa,"High School Seniors, Family/Children, Newborn, Birth, Maternity",1+ years in business,Investment: Moderate
Indiana,"High School Seniors, Family/Children, Maternity, Branding/Headshots",1+ years 4+ years in business,Investment: Premium
Nebraska,"Wedding, High School Seniors, Family/Children, Newborn, Maternity",1+ years in business,Investment: Moderate
Texas,"Wedding, Elopement, High School Seniors, Branding/Headshots, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Moderate
Idaho,Wedding,1+ years 4+ years 9+ years in business,Investment: Premium
Pennsylvania,"High School Seniors, Other Portraits",1 years 4+ years 9+ years in business,Investment: Moderate
Illinois,"Wedding, High School Seniors, Family/Maternity, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Average
Idaho,"Wedding, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Premium
Iowa,"High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Premium
"Wisconsin, Florida","High School Seniors, Family/Children, Newborn, Branding/Headshots, Boudoir",1+ years 4+ years in business,Investment: Premium
Nebraska,"Wedding, High School Seniors, Family/Children, Boudoir, Portraits",1+ years 4+ years 9+ years in business,Investment: Moderate
Pennsylvania,Newborn,1+ years 4+ years 9+ years in business,Investment: Average
Alabama,"Wedding, Elopement, High School Seniors, Family/Children, Other Portraits",1+ years in business,Investment: Moderate
Wyoming,Wedding,1+ years 4+ years in business,Investment: Moderate
Washington,"Family/Children, Newborn, Maternity, Boudoir, Other Portraits",1+ years 4+ years in business,Investment: Premium
"Florida, New Hampshire, Wisconsin","High School Seniors, Family/Children, Branding/Headshots",1+ years 4+ years in business,Investment: Premium
"Idaho, Wyoming, California, Alaska","Wedding, Elopement, Family/Children, Boudoir, Other Portraits",1+ years 4+ years in business,Investment: Moderate
Mississippi,"High School Seniors, Family/Children, Newborn, Branding/Headshots, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Moderate
Montana,"Wedding, High School Seniors, Family/Children, Boudoir",1+ years in business,Investment: Moderate
Missouri,"Wedding, High School Seniors, Family/Children, Maternity, Boudoir",1+ years 4+ years 9+ years in business,Investment: Moderate
Nevada,"Wedding, Elopement",1+ years 4+ years in business,Investment: Average
Virginia.,"High School Seniors, Family/Children, Newborn, Maternity, Animals",1+ years 4+ years 9+years in business,Investment: Average
Pennsylvania,"Elopement, High School Seniors, Family/Children, Newborn, Birth",1+ years in business,Investment: Moderate
"South Carolina, North Carolina","Wedding, Elopement, Family/Children, Maternity, Animals",1+ years 4+ years 9+ years in business,Investment: Average
Minnesota,"Wedding, Family/Children, Newborn, Maternity, Animals",1+ years 4+ years in business,Investment: Average
Tennessee,"Family/Children, Newborn, Maternity, Branding/Headshots, Animals",1+ years in business,Investment: Luxury
Nebraska,"Branding/Headshots, Animals, Boudoir, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Moderate
Arkansas,"Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Premium
Washington,"High School Seniors, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Average
New Jersey,"Family/Children, Newborn",1+ years 4+ years 9+ years in business,Investment: Premium
Illinois,"High School Seniors, Family/Children, Branding/Headshots, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Average
Texas,"Wedding, Elopement",1+ years 4+ years 9+ years in business,Investment: Luxury
Illinois,"Family/Children, Newborn, Maternity",1+ years in business,Investment: Average
Tennessee,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Arizona,"Wedding, High School Seniors, Family/Children, Maternity, Branding/Headshots",1+ years 4+ years in business,Investment: Moderate
Indiana,"Wedding, Branding/Headshots, Boudoir, Other Portraits",1+ years 4+ years in business,Investment: Moderate
"California, Oregon, Washington",Elopement,1+ years 4+ years in business,Investment: Premium
Nebraska,"Wedding, High School Seniors, Family/Children, Maternity",1+ years 4+ years in business,Investment: Moderate
Iowa,"Newborn, Maternity",1+ years in business,Investment: Premium
Utah,Wedding,1+ years in business,Investment: Moderate
Ohio,Wedding,1+ years 4+ years 9+ years in business,Investment: Premium
"Texas, New Mexico","Wedding, Elopement, High School Seniors, Branding/Headshots, Boudoir",1+ years 4+ years 9+ years in business,Investment: Average
California,"Elopement, High School Seniors, Family/Children, Branding/Headshots, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Moderate
Virginia.,"High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Maryland,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Premium
Idaho,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
California,"High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Premium
Iowa,"High School Seniors, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years in business,Investment: Moderate
Wisconsin,"Wedding, High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Michigan,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
"Michigan, Ohio",Animals,1+ years 4+ years in business,Investment: Premium
Hawaii,"Elopement, High School Seniors, Family/Children, Maternity, Other Portraits",1+ years in business,Investment: Moderate
Pennsylvania,"Wedding, Family/Children, Maternity, Branding/Headshots, Boudoir",1+ years 4+ years in business,Investment: Average
Minnesota,"High School Seniors, Family/Children, Newborn",1+ years 4+ years in business,Investment: Moderate
Ohio,"Maternity, Branding/Headshots, Boudoir, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Luxury
Nebraska,"Wedding, High School Seniors, Family/Children, Maternity, Boudoir",1+ years 4+ years in business,Investment: Moderate
Florida,"Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Premium
New York,"High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
Virginia.,"Wedding, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years in business,Investment: Moderate
Florida,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Premium
South Carolina,"Wedding, Elopement, High School Seniors, Family/Children, Maternity",1+ years 4+ years 9+ years in business,Investment: Average
New York,"Wedding, Elopement",1+ years 4+ years in business,Investment: Moderate
Hawaii,"Wedding, Elopement, Family/Children",1+ years 4+ years 9+ years in business,Investment: Premium
Nebraska,"Wedding, High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
Georgia,"High School Seniors, Family/Children, Newborn, Branding/Headshots","1+ years, 4+ years in business",Investment: Premium
Texas,"Wedding, High School Seniors, Maternity, Branding, Boudoir",1+ years 4+ years in business,Investment: Moderate
Hawaii,"Wedding, Elopement, Family/Children, Newborn, Branding/Headshots",1+ years in business,Investment: Average
Colorado,"Family/Children, Newborn, Maternity, Animals, Other Portraits",1+ years 4+ years in business,Investment: Moderate
Pennsylvania,"High School Seniors, Family/Children, Newborn, Maternity, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Luxury
Oregon,"Wedding, Family/Children",1+ years 4+ years 9+ years in business,Investment: Moderate
Florida,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Premium
Georgia,"Wedding, High School Seniors, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Premium
Michigan,"High School Seniors, Family/Children, Newborn, Animals",1+ years 4+ years 9+ years in business,Investment: Average
