State,Specialties,Experience,Price
Kansas.,"Wedding, High School Seniors, Family/Children, Branding/Headshots, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Average
Iowa,"Wedding, Family/Children, Branding/Headshots, Boudoir, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Moderate
Illinois,"Wedding, High School Seniors, Family/Children, Newborn, Boudoir",1+ years 4+ years 9+ years in business,Investment: Moderate
"Nebraska, Iowa, Missouri","Wedding, Elopement, Family/Children, Other Portraits",1+ years in business,Investment: Moderate
Nebraska,"High School Seniors, Family/Children, Maternity, Branding/Headshots, Boudoir",1+ years 4+ years in business,Investment: Moderate
Nevada,Animals,1+ years in business,Investment: Premium
"Pennsylvania, New Jersey","Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Average
Washington,"Family/Children, Newborn, Birth, Maternity, Boudoir",1+ years 4+ years 9+ years in business,Investment: Moderate
California,"Wedding, Elopement, Family/Children, Maternity, Other Portraits",1+ years in business,Investment: Moderate
Florida,"Wedding, High School Seniors, Family/Children, Newborn, Maternity",1+ years 4 + years 9+ years in business,Investment: Average
Idaho,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
Illinois,"Elopement, High School Seniors, Family, Maternity, Branding/Headshots",1+ years 4+ years in business,Investment: Moderate
Ohio,"Family/Children, Newborn, Maternity",1+ years 4+ years  in business,Investment: Moderate
California,"Wedding, Elopement, High School Seniors, Branding/Headshots, Other Portraits",1+ years 4+ years in business,Investment: Average
Nevada,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Average
New York,"High School Seniors, Family/Children, Newborn, Maternity, Animals",1+ years 4+ years in business,Investment: Moderate
Maryland,"Wedding, High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Maine,"Branding/Headshots, Boudoir",1+ years 4+ years 9+ years in business,Investment: Premium
Indiana,"Family/Children, Branding/Headshots, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Moderate
"Tennessee, Georgia","Wedding, Elopement, Boudoir",1+ years 4+ years in business,Investment: Average
Washington,Animals,1+ years 4+ years 9+ years in business,Investment: Premium
Ohio,"High School Seniors, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Premium
"Maryland, Delaware, Pennsylvania, Virginia.","Wedding, Elopement, Branding/Headshots",1+ years 4+ years in business,Investment: Average
Indiana,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Maine,"Wedding, High School Seniors, Family/Children, Newborn, Boudoir",1+ years 4+ years in business,Investment: Moderate
Colorado,"Wedding, Elopement, Maternity, Boudoir",1+ years in business,Investment: Average
"Missouri, Illinois","High School Seniors, Family/Children, Branding/Headshots, Animals, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Average
Oregon,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Premium
Georgia,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Average
Montana,"High School Seniors, Branding/Headshots, Other Portraits","1+ years, 4+ years, 9 + years in business",Investment: Moderate
Alaska,"Wedding, Elopement, High School Seniors, Family/Children, Branding/Headshots",1+ year 4+ years in business,Investment: Premium
New Jersey,"Family/Children, Branding/Headshots, Quinceañeras, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Average
California,"Family/Children, Newborn, Maternity, Branding/Headshots, Animals",1+ years 4+ years in business,Investment: Premium
Pennsylvania,"High School Seniors, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Average
Montana,"Wedding, Boudoir","1+ years, 4+ years, 9 + years in business",Investment: Moderate
California,"High School Seniors, Family/Children, Newborn, Maternity, Other Portraits",1+ years 4+ years in business,Investment: Premium
"Maryland, Pennsylvania","Wedding, High School Seniors, Family/Children, Newborn, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Average
Hawaii,"Wedding, Elopement",1+ years 4+ years 9+ years in business,Investment: Average
Minnesota,"Wedding, High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Average
Oregon,"Branding/Headshots, Other Portraits",1+ years in business,Investment: Moderate
Ohio,Boudoir,1+ years 4+ years  in business,Investment: Premium
California,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
Vermont,"High School Seniors, Family/Children, Animals",1+ years in business,Investment: Average
Washington,"High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
Utah,"Wedding, High School Seniors, Other Portraits",1+ years 4+ years in business,Investment: Average
Washington,"Wedding, Elopement, Family/Children, Newborn, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
Illinois,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
Utah,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
Utah,"Family/Children, Other Portraits",1+ years 4+ years in business,Investment: Luxury
Nebraska,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
North Dakota,"Wedding, High School Seniors, Family/Children, Newborn",1+ years 4+ years in business,Investment: Moderate
Virginia.,"Wedding, Branding/Headshots",1+ years 4+ years 9+years in business,Investment: Premium
Illinois,Wedding,1+ years 4+ years in business,Investment: Average
New York,"Family/Children, Newborn, Maternity",1+ years in business,Investment: Moderate
Nebraska,"High School Seniors, Family/Children, Animals",1+ years 4+ years in business,Investment: Premium
Florida,"High School Seniors, Family/Children, Maternity, Branding/Headshots, Boudoir",1+ years in business,Investment: Moderate
Louisiana,"High School Seniors, Family/Children, Maternity, Boudoir, Other Portraits",1+ years in business,Investment: Moderate
South Carolina,"Maternity, Newborn, Family/Children, High School Seniors, Boudoir",1+ years 4+ years in business,Investment: Average
Texas,"Family/Children, Newborn, Maternity",1+ years in business,Investment: Premium
Montana,"Wedding, Elopement",1+ years in business,Investment: Average
Connecticut,"Family/Children, Newborn, Maternity, Animals, Boudoir",1+ years 4+ years in business,Investment: Average
Illinois,"High School Seniors, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years in business,Investment: Moderate
Oregon,"Wedding, Elopement, Family/Children, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
"West Virginia, Pennsylvania","Wedding, Elopement, High School Seniors, Family/Children, Other Portraits",1+ years in business,Investment: Moderate
"Kansas., Arkansas, Nebraska",Wedding,1+ years 4+ years in business,Investment: Moderate
Pennsylvania,"Wedding, High School Seniors, Family/Children",1+ years 4+ years 9+ years in business,Investment: Average
Missouri,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Premium
Indiana,"Wedding, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years in business,Investment: Average
Florida,"Family/Children, Newborn, Birth, Maternity",1+ years in business,Investment: Moderate
Tennessee,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
Nebraska,"High School Seniors, Family/Children, Newborn, Maternity, Boudoir",1+ years in business,Investment: Moderate
"Nebraska, Iowa","Wedding, Elopement, High School Seniors, Family/Children, Newborn",1+ years 4+ years in business,Investment: Moderate
"Kansas., Missouri","High School Seniors, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years in business,Investment: Average
"Pennsylvania, New Jersey","Family/Children, Newborn, Maternity, Animals",1+ years 4+ years 9+ years in business,Investment: Premium
"Montana, North Dakota, South Dakota, Wyoming","Wedding, Elopement, High School Seniors",1+ years 4+ years in business,Investment: Moderate
Arkansas,"Wedding, High School Seniors, Family/Children, Branding/Headshots, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Moderate
Utah,"Wedding, Elopement, High School Seniors, Family/Children, Maternity",1+ years 4+ years in business,Investment: Moderate
Georgia,Wedding,"1+ years, 4+ years in business",Investment: Average
Nebraska,"Wedding, High School Seniors, Family/Children, Maternity, Boudoir",1+ years 4+ years in business,Investment: Moderate
Nebraska,"Wedding, High School Seniors, Family/Children, Branding/Headshots, Animals",1+ years 4+ years 9+ years in business,Investment: Moderate
Pennsylvania,Animals,1+ years 4+ years in business,Investment: Premium
"Colorado, New Mexico, Florida, California","Wedding, Elopement, High School Seniors, Branding/Headshots, Other Portraits",1+ years 4+ years in business,Investment: Average
Illinois,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Missouri,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Average
Illinois,"Wedding, Boudoir",1+ years 4+ years in business,Investment: Average
"Ohio, Missouri","Family/Children, Newborn, Birth, Maternity",1+ years in business,Investment: Moderate
South Carolina,"High School Seniors, Family/Children, Branding/Headshots, Other Portraits",1+ years 4+ years in business,Investment: Premium
Massachusetts,"Wedding, Elopement, Family/Children, Newborn, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Premium
Texas,Newborn,1+ years 4+ years 9+ years in business,Investment: Premium
Pennsylvania,"Family/Children, Newborn, Maternity, Animals",1+ years in business,Investment: Moderate
Nebraska,"Wedding, High School Seniors, Family/Children, Branding/Headshots, Animals",1+ years 4+ years 9+ years in business,Investment: Premium
Florida,"High School Seniors, Family/Children, Other Portraits",1+ years 4+ years in business,Investment: Moderate
Wisconsin,"High School Seniors, Family/Children, Maternity",1+ years 4+ years in business,Investment: Average
Georgia,"Family/Children, Newborn, Maternity",1+ years in business,Investment: Moderate
California,Boudoir,1+ years 4+ years in business,Investment: Premium
Ohio,"Family/Children, Newborn, Maternity, Boudoir",1+ years 4+ years in business,Investment: Average
California,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Premium
"Illinois, Wisconsin, Colorado","Wedding, Elopement, High School Seniors, Family/Children, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Average
South Dakota,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Average
Alaska,"Wedding, Elopement, Newborn, Maternity, Boudoir",1+ year 4+ years 9+ years in business,Investment: Moderate
Washington,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Premium
Minnesota,"Wedding, Family/Children, Branding/Headshots, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Average
Wisconsin,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Luxury
Ohio,"Family/Children, Newborn, Maternity",1+ years 4+ years  in business,Investment: Premium
Massachusetts,"High School Seniors, Family/Children, Maternity, Animals, Other Portraits",1+ years 4+ years in business,Investment: Moderate
"South Dakota, Montana, Wyoming","Wedding, Elopement, Family/Children, Birth Boudoir",1+ years 4+ years in business,Investment: Moderate
"Massachusetts, Rhode Island","Wedding, Elopement, Family/Children, Maternity, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Premium
"Washington, Idaho",Animals,1+ years 4+ years in business,Investment: Premium
Colorado,"High School Seniors, Family/Children, Newborn, Maternity, Boudoir",1+ years 4+ years 9+ years in business,Investment: Average
Alabama,"High School Seniors, Family/Children",1+ years 4+ years 9+ years in business,Investment: Moderate
New Jersey,"Family/Children, Maternity, Branding/Headshots, Other Portraits",1+ years 4+ years in business,Investment: Average
Tennessee,"Wedding, Family/Children, Newborn, Maternity, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Moderate
California,Boudoir,1+ years 4+ years 9+ years in business,Investment: Luxury
Arizona,"Elopement, High School Seniors, Family/Children, Animals, Other Portraits",1+ years in business,Investment: Moderate
Virginia.,"Wedding, Family/Children, Maternity, Branding/Headshots, Quinceañeras",1+ years 4+ years 9+years in business,Investment: Moderate
California,"Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Premium
Florida,"Maternity, Branding/Headshots",1+ years in business,Investment: Premium
New York,High School Seniors,1+ years 4+ years in business,Investment: Premium
Washington,"Boudoir, Other Portraits",1+ years in business,Investment: Premium
"Indiana, Hawaii, Nevada","Wedding, High School Seniors, Family/Children, Maternity, Boudoir",1+ years 4+ years 9+ years in business,Investment: Premium
Washington,"High School Seniors, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
Illinois,"Wedding, High School Seniors, Family/Children, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
Tennessee,Newborn,1+ years 4+ years 9+ years in business,Investment: Average
Nebraska,"Family, Newborn, Maternity, Portraits",1+ years 4+ years 9+ years in business,Investment: Moderate
Texas,"Wedding, Elopement, Family/Children, Quinceañeras",1+ years in business,Investment: Moderate
Idaho,"Wedding, High School Seniors, Family/Children, Maternity, Quinceañeras",1+ years 4+ years in business,Investment: Moderate
Nebraska,"Family/Children, Newborn, Maternity",1+years in business,Investment: Moderate
New York,"High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Average
Nebraska,"Wedding, Family/Children, Branding/Headshots",1+ years 4+ years in business,Investment: Moderate
Oklahoma,Animals,1+ years in business,Investment: Moderate
Connecticut,"Wedding, Elopement",1+ years 4+ years in business,Investment: Average
"Wisconsin, California, Colorado","Wedding, Elopement",1+ years 4+ years 9+ years in business,Investment: Average
South Carolina,"High School Seniors, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Average
South Carolina,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Kansas.,"High School Seniors, Family/Children, Newborn, Maternity",1+ years in business,Investment: Moderate
Florida,Boudoir,1+ years 4+ years in business,Investment: Premium
Maryland,"Wedding, Family/Children, Newborn, Maternity, Other Portraits",1+ years 4+ years in business,Investment: Moderate
West Virginia,"Wedding, High School Seniors, Family/Children, Branding/Headshots, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Moderate
Tennessee,"Wedding, Branding/Headshots, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Moderate
Pennsylvania,"High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
"Washington, Utah","Wedding, Maternity, Boudoir",1+ years in business,Investment: Moderate
Washington,"Family, Newborn, Maternity",1+ years in business,Investment: Moderate
"Colorado, Montana","Wedding, Elopement, High School Seniors, Family/Children, Maternity",1+ years in business,Investment: Moderate
"Washington, Oregon","Elopement, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years in business,Investment: Moderate
Colorado,"Wedding, Maternity, Other Portraits",1+ years in business,Investment: Moderate
Vermont,"Wedding, Elopement, Family/Children, Branding/Headshots, Boudoir",1+ years 4+ years in business,Investment: Moderate
Oklahoma,"Wedding, Elopement, High School Seniors, Family/Children, Branding/Headshots",1+ years 4+ years in business,Investment: Moderate
California,"Wedding, High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Maine,"Wedding, Elopement",1+ years 4+ years 9+ years in business,Investment: Premium
Nebraska,"Family/Children, Newborn, Maternity, Boudoir",1+ years 4+ years in business,Investment: Average
Oregon,"Newborn, Maternity",1+ years in business,Investment: Premium
Florida,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Average
"Missouri, Illinois","Family/Children, Newborn, Maternity, Animals",1+ years 4+ years 9+ years in business,Investment: Moderate
Ohio,"Wedding, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years  in business,Investment: Moderate
Hawaii,"Wedding, Elopement, Maternity",1+ years 4+ years 9+ years in business,Investment: Average
Texas,"Wedding, Elopement, High School Seniors, Family/Children, Maternity",1+ years 4+ years in business,Investment: Moderate
Iowa,Boudoir,1+ years 4+ years in business,Investment: Premium
California,Animals,1+ years in business,Investment: Moderate
Maryland,"Wedding, Maternity, Branding/Headshots, Other Portraits",1+ years 4+ years in business,Investment: Average
Tennessee,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Luxury
Nebraska,"Family/Children, Newborn, Maternity, Animals",1+ years 4+ years in business,Investment: Moderate
Nebraska,"Wedding, High School Seniors, Family/Children, Boudoir, Newborn",1+ years in business,Investment: Moderate
Nebraska,"Wedding, High School Seniors, Family/Children, Maternity",1+ years 4+ years in business,Investment: Moderate
Texas,"Wedding, Elopement, Branding, Quinceañeras, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Moderate
North Carolina,"Wedding, Elopement, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Indiana,"Wedding, High School Seniors, Family/Children, Maternity, Boudoir",1+ years 4+ years in business,Investment: Moderate
Tennessee,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Luxury
Washington,"High School Seniors, Family/Children, Branding/Headshots, Maternity",1+ years 4+ years in business,Investment: Luxury
Ohio,"Family/Children, Newborn, Birth, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Ohio,"Wedding, High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years  in business,Investment: Average
"New Jersey, New York, Connecticut","Family/Children, Newborn, Branding/Headshots, Other Portraits",1+ years 4+ years in business,Investment: Premium
"Missouri, New Mexico, Colorado","Wedding, Elopement, High School Seniors, Branding/Headshots",1+ years 4+ years in business,Investment: Moderate
New York,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
California,"Family/Children, Newborn, Maternity",1+ years in business,Investment: Premium
Maryland,"Wedding, Family/Children, Branding/Headshots, Boudoir, Other Portraits",1+ years in business,Investment: Moderate
Illinois,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Missouri,"Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
"Colorado, Texas","Wedding, Family/Children, Maternity, Branding/Headshots, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Moderate
Colorado,"High School Seniors, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years in business,Investment: Moderate
"New Jersey, Pennsylvania","Family/Children, Newborn, Maternity, Other Portraits",1+ years 4+ years in business,Investment: Average
Utah,"Wedding, High School Seniors, Family/Children, Maternity, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Average
Texas,Boudoir,1+ years 4+ years 9+ years in business,Investment: Luxury
New Jersey,"Family/Children, Newborn, Maternity, Boudoir",1+ years 4+ years in business,Investment: Moderate
New Hampshire,"High School Seniors, Branding/Headshots, Animals",1+ years 4+ years in business,Investment: Premium
Nevada,"Wedding, Elopement, Family/Children, Birth, Maternity",1+ years 4+ years in business,Investment: Moderate
Pennsylvania,"Family/Children, Newborn, Maternity",1+ years in business,Investment: Moderate
Alabama,"Wedding, Family/Children, Maternity, Branding/Headshots, Other Portraits",1+ years in business,Investment: Moderate
"Missouri, Michigan","Wedding, Elopement, High School Seniors, Animals",1+ years in business,Investment: Moderate
Nebraska,"Family/Children, Newborn, Maternity",1+ years in business,Investment: Moderate
Colorado,"Maternity, Branding/Headshots, Boudoir, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Luxury
California,"High School Seniors, Family/Children, Newborn, Branding/Headshots",1+ years 4+ years in business,Investment: Premium
California,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Premium
Indiana,Boudoir,1+ years in business,Investment: Luxury
Arizona,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
Colorado,"Wedding, Elopement, Family/Children, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Average
"Massachusetts, Rhode Island","Wedding, High School Seniors, Family/Children, Maternity, Other Portraits",1+ years 4+ years in business,Investment: Moderate
Texas,"Family/Children, Newborn, Maternity, Branding/Headshots, Boudoir",1+ years in business,Investment: Premium
Colorado,"Wedding, Elopement",1+ years in business,Investment: Moderate
Kentucky,"Wedding, High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
"Montana, Idaho",Animals,"1+ years, 4+ years, 9 + years in business",Investment: Premium
Montana,Animals,"1+ years, 4+ years, in business",Investment: Premium
Illinois,"Family/Children, Newborn, Maternity, Branding/Headshots, Boudoir",1+ years 4+ years 9+ years in business,Investment: Moderate
"Massachusetts, New Hampshire, Rhode Island, Vermont",Animals,1+ years 4+ years 9+ years in business,Investment: Premium
Wisconsin,Boudoir,1+ years 4+ years in business,Investment: Premium
Washington,"Wedding, Elopement, Family/Children, Newborn, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Average
Oregon,"Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Premium
"Missouri, Illinois, Washington, Oregon","High School Seniors, Family/Children, Newborn, Maternity, Animals",1+ years 4+ years in business,Investment: Luxury
Utah,Family/Children,1+ years 4+ years in business,Investment: Moderate
Nebraska,"Wedding, High School Seniors, Family/Children, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
Nebraska,"Wedding, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years in business,Investment: Moderate
Washington,"Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Average
North Carolina,"Family/Children, Newborn, Maternity, Branding/Headshots, Boudoir",1+ years 4+ years in business,Investment: Moderate
"Indiana, Illinois, Michigan",Wedding,1+ years 4+ years in business,Investment: Moderate
Illinois,"Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
California,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Premium
Indiana,"Wedding, High School Seniors, Family/Children, Newborn, Maternity",1+ years in business,Investment: Moderate
Nebraska,"Wedding, High School Seniors",1+ years in business,Investment: Moderate
Arkansas,"Family/Children, Newborn, Birth, Maternity",1+ years 4+ years in business,Investment: Premium
California,Boudoir,1+ years 4+ years 9+ years in business,Investment: Luxury
"Massachusetts, New Hampshire, Maine, Rhode Island","Family/Children, Branding/Headshots, Animals",1+ years 4+ years 9+ years in business,Investment: Premium
Iowa,"Wedding, Elopement, High School Seniors, Family/Children, Branding/Headshots",1+ years 4+ years in business,Investment: Moderate
Georgia,"Wedding, High School Seniors, Family/Children, Maternity, Boudoir",1+ years in business,Investment: Moderate
Nebraska,"High School Seniors, Branding/Headshots, Boudoir, Other Portraits",1+ years in business,Investment: Moderate
Alabama,"Wedding, Elopement, High School Seniors, Family/Children, Maternity",1+ years in business,Investment: Moderate
Colorado,"Wedding, Family/Children, Branding/Headshots",1+ years in business,Investment: Moderate
Florida,"Family/Children, Newborn, Maternity",1+ years 4 + years 9+ years in business,Investment: Premium
Colorado,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Vermont,"Wedding, Family/Children",1+ years 4+ years 9+ years in business,Investment: Average
New Jersey,"High School Seniors, Family/Children, Newborn, Maternity, Other Portraits",1+ years 4+ years in business,Investment: Moderate
California,"Maternity, Boudoir",1+ years 4+ years 9+ years in business,Investment: Luxury
"Connecticut, New Hampshire","Wedding, Elopement",1+ years 4+ years in business,Investment: Average
"Florida, Georgia","Wedding, Elopement, Branding/Headshots, Animals, Boudoir",1+ years 4+ years 9+ years in business,Investment: Average
Tennessee,"Wedding, Elopement",1+ years 4+ years 9+ years in business,Investment: Average
Nebraska,"High School Seniors, Family/Children, Animals",1+ years 4+ years in business,Investment: Premium
California,"Wedding, Family/Children, Maternity, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Average
Indiana,"Wedding, High School Seniors, Family/Children",1+ years in business,Investment: Moderate
Pennsylvania,"Family/Children, Newborn, Maternity",1+ years in business,Investment: Moderate
"Pennsylvania, New York","Family/Children, Newborn, Birth, Maternity, Animals",1+ years 4+ years in business,Investment: Average
Pennsylvania,"High School Seniors, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Average
Idaho,"High School Seniors, Family/Children, Newborn, Maternity, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Moderate
Virginia.,Maternity,1+ years 4+ years in business,Investment: Average
Massachusetts,"High School Seniors, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years in business,Investment: Average
Ohio,"Maternity, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Premium
"Missouri, Tennessee, South Carolina","Family/Children, Newborn, Maternity",1+ years in business,Investment: Luxury
"Washington, Oregon, Montana, Florida",Elopement,1+ years 4+ years in business,Investment: Average
Indiana,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Moderate
Nebraska,"High School Seniors, Family/Children, Maternity, Boudoir, Other Portraits",1+ years in business,Investment: Moderate
"Washington, Wisconsin","Wedding, Family/Children, Newborn, Birth, Maternity",1+ years in business,Investment: Moderate
Georgia,Boudoir,"1+ years, 4+ years in business",Investment: Moderate
Texas,"Family/Children, Newborn, Birth, Maternity",1+ years in business,Investment: Average
Nebraska,"Birth, Family/Children, Maternity",1+ years 4+ years in business,Investment: Moderate
"Washington, Idaho, Montana, Oregon","Wedding, High School Seniors, Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Average
South Dakota,"Wedding, High School Seniors, Family/Children, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
Arizona,"Wedding, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
Nebraska,"Wedding, High School Seniors, Boudoir, Other Portraits",1+ years 4+ years in business,Investment: Moderate
Maine,"Maternity, Boudoir, Other Portraits",1+ years in business,Investment: Premium
Pennsylvania,"High School Seniors, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
Oregon,"High School Seniors, Maternity, Branding/Headshots, Boudoir, Other Portraits",1+ years 4+ years 9+ years in business,Investment: Premium
Washington,"High School Seniors, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Premium
South Carolina,Wedding,1+ years 4+ years 9+ years in business,Investment: Moderate
North Carolina,"Wedding, Elopement, Family/Children, Other Portraits",1+ years 4+ years in business,Investment: Moderate
Alabama,"Wedding, High School Seniors, Birth, Branding/Headshots, Other Portraits",1+ years in business,Investment: Average
Maryland,"High School Seniors, Branding/Headshots, Other Portraits",1+ years 4+ years in business,Investment: Moderate
North Carolina,"Newborn, Maternity",1+ years in business,Investment: Premium
Ohio,"Family/Children, Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Premium
Maryland,"Family/Children, Newborn, Maternity",1+ years 4+ years in business,Investment: Premium
"Massachusetts, New Hampshire, Maine",Animals,1+ years 4+ years in business,Investment: Premium
Minnesota,"High School Seniors, Family/Children, Newborn, Maternity, Branding/Headshots",1+ years 4+ years in business,Investment: Moderate
Ohio,"Wedding, High School Seniors, Family/Children, Maternity, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
"North Carolina, South Carolina","High School Seniors, Family/Children",1+ years in business,Investment: Moderate
"Massachusetts, New Hampshire, Maine, Vermont","Wedding, Elopement",1+ years 4+ years 9+ years in business,Investment: Average
"Alaska, Washington, Oregon, California","Wedding, Elopement, High School Seniors, Maternity, Boudoir",1+ years 4+ years 9+ years in business,Investment: Premium
Idaho,Newborn,1+ years in business,Investment: Moderate
North Carolina,"Newborn, Maternity",1+ years 4+ years 9+ years in business,Investment: Moderate
Oklahoma,"Family/Children, Newborn, Maternity, High School Seniors",1+ years 4+ years in business,Investment: Premium
Michigan,"High School Seniors, Family/Children, Newborn, Maternity, Boudoir",1+ years 4+ years 9+ years in business,Investment: Premium
Nebraska,"High School Seniors, Family/Children",1+ years 4+ years 9+ years in business,Investment: Moderate
Utah,Boudoir,1+ years 4+ years in business,Investment: Premium
Virginia.,"Family/Children, Newborn, Maternity, Branding/Headshots, Other Portraits",1+ years 4+ years 9+years in business,Investment: Moderate
Texas,"Wedding, High School Seniors, Maternity, Branding/Headshots, Boudoir",1+ years 4+ years 9+ years in business,Investment: Moderate
"Arkansas, Oklahoma","Wedding, Elopement, High School Seniors, Family/Children, Branding/Headshots",1+ years 4+ years 9+ years in business,Investment: Moderate
